City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,martaban,16.5314,97.6111,23.56,75,0,1.18,MM,1706813815
255,bumba,2.1833,22.4667,26.94,49,16,1.14,CD,1706813815
256,tarakan,3.3,117.6333,26.46,82,100,2.72,ID,1706813816
257,weno,7.4515,151.8468,25.97,94,75,3.6,FM,1706813816
258,canico,32.6333,-16.85,21.18,81,40,2.57,PT,1706813816
259,mar del plata,-38.0023,-57.5575,27.75,58,75,8.49,AR,1706813816
260,ravar,31.2656,56.8055,8.55,34,93,2.69,IR,1706813817
261,pimentel,-6.8367,-79.9342,30.16,58,75,5.66,PE,1706813817
262,usogorsk,63.4106,48.6872,-4.63,95,100,6.08,RU,1706813817
263,kudahuvadhoo,2.6708,72.8944,27.7,78,97,5.25,MV,1706813818
264,sungai penuh,-2.0833,101.3833,18.54,96,100,0.96,ID,1706813818
265,chernyshevskiy,63.0128,112.4714,-36.12,100,97,0.91,RU,1706813818
266,andalgala,-27.5819,-66.3165,28.85,31,40,6.05,AR,1706813819
267,nema,57.5067,50.5011,-7.63,94,94,4.57,RU,1706813819
268,berdigestyakh,62.0989,126.6992,-33.18,99,98,2.26,RU,1706813819
269,ponta delgada,37.7333,-25.6667,18.44,88,20,5.66,PT,1706813819
270,pak phanang,8.3511,100.202,25.32,82,57,2.18,TH,1706813820
271,madingou,-4.1536,13.55,23.33,90,73,1.01,CG,1706813820
272,masterton,-40.9597,175.6575,17.83,65,37,6.04,NZ,1706813820
273,karagandy,49.8019,73.1021,-7.03,90,100,7.72,KZ,1706813821
274,manaure,11.7751,-72.4445,26.97,74,70,7.25,CO,1706813821
275,isafjordur,66.0755,-23.124,3.02,70,100,1.54,IS,1706813821
276,yibin,28.7667,104.6238,11.52,68,100,0.67,CN,1706813821
277,laguna,38.421,-121.4238,14.63,89,40,3.09,US,1706813822
278,butjadingen,53.5472,8.335,5.68,93,83,6.0,DE,1706813822
279,fonte boa,-2.4959,-66.2662,27.5,93,99,1.25,BR,1706813822
280,yarmouth port,41.702,-70.2495,6.2,78,100,5.36,US,1706813823
281,uzgen,40.7699,73.3007,-1.84,75,86,2.54,KG,1706813823
282,myeik,12.4333,98.6,24.76,82,0,1.74,MM,1706813824
283,yanchep,-31.55,115.6833,26.64,59,0,2.86,AU,1706813824
284,patos de minas,-18.5789,-46.5181,25.48,70,99,3.17,BR,1706813824
285,coquimbo,-29.9533,-71.3436,20.85,77,75,5.14,CL,1706813825
286,old town,50.087,14.4202,6.5,70,0,5.66,CZ,1706813825
287,san antonio de pale,-1.4014,5.6325,28.14,77,92,2.76,GQ,1706813825
288,egilsstadir,65.2653,-14.3948,0.95,64,0,3.6,IS,1706813826
289,newman,37.3138,-121.0208,13.92,88,94,0.89,US,1706813826
290,port-vila,-17.7338,168.3219,23.78,100,20,1.03,VU,1706813826
291,puerto aysen,-45.4,-72.7,23.67,42,46,4.0,CL,1706813826
292,san rafael,-34.6177,-68.3301,38.37,17,2,6.87,AR,1706813827
293,uturoa,-16.7333,-151.4333,27.89,72,90,5.6,PF,1706813827
294,selfoss,63.9331,-20.9971,2.25,96,100,1.51,IS,1706813827
